X,Y,Index_,ACCNUM,YEAR,DATE,TIME,Hour,STREET1,STREET2,OFFSET,ROAD_CLASS,District,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,Division,Ward_Name,Ward_ID,Hood_ID,Hood_Name,ObjectId
-79.347278,43.751673,80777565,7000804511,2017,2017-05-07T04:00:00.000Z,1630,16,1446 DON MILLS RD, ,15 m East of,Major Arterial,North York,43.751673,-79.347278,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,Driver,75 to 79,Major,0,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Medical or Physical Disability, , , , , , , , ,Yes, , , , ,Yes, , , , ,Yes,33,,,42,,1
-79.347278,43.751673,80777566,7000804511,2017,2017-05-07T04:00:00.000Z,1630,16,1446 DON MILLS RD, ,15 m East of,Major Arterial,North York,43.751673,-79.347278,Mid-Block,Non Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,Passenger,75 to 79,Minor,0, , , , , , , , , , , , , ,Yes, , , , ,Yes, , , , ,Yes,33,,,42,,2
-79.41489,43.776945,5382528,1048465,2008,2008-07-16T04:00:00.000Z,1655,16,YONGE Stre,KEMPFORD Boul, ,Major Arterial,North York,43.776945,-79.41489,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,65 to 69,Major,0,North,"Automobile, Station Wagon",Going Ahead,Disobeyed Traffic Control,Medical or Physical Disability, , , , , , , , ,Yes, , , , , , ,Yes,Yes, ,Yes,32,,,37,,3
-79.41489,43.776945,5382529,1048465,2008,2008-07-16T04:00:00.000Z,1655,16,YONGE Stre,KEMPFORD Boul, ,Major Arterial,North York,43.776945,-79.41489,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,55 to 59,None,0,North,"Automobile, Station Wagon",Stopped,Driving Properly,Normal, , , , , , , , ,Yes, , , , , , ,Yes,Yes, ,Yes,32,,,37,,4
-79.26219,43.802745,6145452,1169909,2010,2010-05-02T04:00:00.000Z,1704,17,KENHATCH BLVD,MARRAKESH DR, ,Collector,Scarborough,43.802745,-79.26219,Intersection, ,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,Driver,50 to 54,Major,0,North,"Automobile, Station Wagon",Going Ahead,Lost control,Medical or Physical Disability, , , , , , , , ,Yes, , , , , , , , , ,Yes,42,,,129,,5
-79.510753,43.602278,80545824,6001222638,2016,2016-07-12T04:00:00.000Z,1710,17,BIRMINGHAM ST,ELSINORE PATH, ,Collector,Etobicoke York,43.602278,-79.510753,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Fatal,SMV Other,Driver,55 to 59,Fatal,46,West,"Automobile, Station Wagon",Going Ahead,Lost control,Medical or Physical Disability, , , , , , , , ,Yes, , , , , , , , , ,Yes,22,,,18,,6
-79.347003,43.775035,80771399,7001053469,2017,2017-06-13T04:00:00.000Z,1719,17,SHEPPARD AVE E,DON MILLS RD,1 m West of,Major Arterial,North York,43.775035,-79.347003,Intersection,At Intersection,Traffic Controller,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,70 to 74,Major,0,East,"Automobile, Station Wagon",Going Ahead,Other,Medical or Physical Disability, , , , , , , , ,Yes, , , , ,Yes, , , , ,Yes,33,,,53,,7
-79.347003,43.775035,80771400,7001053469,2017,2017-06-13T04:00:00.000Z,1719,17,SHEPPARD AVE E,DON MILLS RD,1 m West of,Major Arterial,North York,43.775035,-79.347003,Intersection,At Intersection,Traffic Controller,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,25 to 29,None,0,East,"Automobile, Station Wagon",Stopped,Driving Properly,Normal, , , , , , , , ,Yes, , , , ,Yes, , , , ,Yes,33,,,53,,8
-79.347003,43.775035,80771401,7001053469,2017,2017-06-13T04:00:00.000Z,1719,17,SHEPPARD AVE E,DON MILLS RD,1 m West of,Major Arterial,North York,43.775035,-79.347003,Intersection,At Intersection,Traffic Controller,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,25 to 29,None,0,East,"Automobile, Station Wagon",Stopped,Driving Properly,Normal, , , , , , , , ,Yes, , , , ,Yes, , , , ,Yes,33,,,53,,9
-79.347003,43.775035,80771402,7001053469,2017,2017-06-13T04:00:00.000Z,1719,17,SHEPPARD AVE E,DON MILLS RD,1 m West of,Major Arterial,North York,43.775035,-79.347003,Intersection,At Intersection,Traffic Controller,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Passenger,25 to 29,None,0, , , , , , , , , , , , , ,Yes, , , , ,Yes, , , , ,Yes,33,,,53,,10
-79.537387,43.721045,5368625,1042297,2008,2008-06-08T04:00:00.000Z,1720,17,WESTON Road,FLINDON Road, ,Major Arterial,Etobicoke York,43.721045,-79.537387,Mid-Block, ,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,Passenger,60 to 64,Minimal,0, ,Other,Other, , , , , , , , , , ,Yes, , , , ,Yes, , , , ,Yes,31,,,23,,11
-79.537387,43.721045,5368626,1042297,2008,2008-06-08T04:00:00.000Z,1720,17,WESTON Road,FLINDON Road, ,Major Arterial,Etobicoke York,43.721045,-79.537387,Mid-Block, ,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,Passenger,65 to 69,Minimal,0, ,Other,Other, , , , , , , , , , ,Yes, , , , ,Yes, , , , ,Yes,31,,,23,,12
-79.537387,43.721045,5368627,1042297,2008,2008-06-08T04:00:00.000Z,1720,17,WESTON Road,FLINDON Road, ,Major Arterial,Etobicoke York,43.721045,-79.537387,Mid-Block, ,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,Passenger,75 to 79,Minimal,0, ,Other,Other, , , , , , , , , , ,Yes, , , , ,Yes, , , , ,Yes,31,,,23,,13
-79.537387,43.721045,5368628,1042297,2008,2008-06-08T04:00:00.000Z,1720,17,WESTON Road,FLINDON Road, ,Major Arterial,Etobicoke York,43.721045,-79.537387,Mid-Block, ,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,Passenger,80 to 84,Minimal,0, ,Other,Other, , , , , , , , , , ,Yes, , , , ,Yes, , , , ,Yes,31,,,23,,14
-79.537387,43.721045,5368629,1042297,2008,2008-06-08T04:00:00.000Z,1720,17,WESTON Road,FLINDON Road, ,Major Arterial,Etobicoke York,43.721045,-79.537387,Mid-Block, ,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,Passenger,60 to 64,Minimal,0, ,Other,Other, , , , , , , , , , ,Yes, , , , ,Yes, , , , ,Yes,31,,,23,,15
-79.537387,43.721045,5368630,1042297,2008,2008-06-08T04:00:00.000Z,1720,17,WESTON Road,FLINDON Road, ,Major Arterial,Etobicoke York,43.721045,-79.537387,Mid-Block, ,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,Driver,65 to 69,Major,0,South,"Automobile, Station Wagon",Going Ahead,Lost control,Medical or Physical Disability, , , , , , , , ,Yes, , , , ,Yes, , , , ,Yes,31,,,23,,16
-79.60349,43.719145,5353056,1035405,2008,2008-04-28T04:00:00.000Z,1722,17,REXDALE Boul,QUEENS PLATE Driv, ,Major Arterial,Etobicoke York,43.719145,-79.60349,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Vehicle Owner,unknown, ,0, ,Other, , , , , , , , , ,Yes, ,Yes, , , , , , , , , ,Yes,23,,,1,,17
-79.60349,43.719145,5353057,1035405,2008,2008-04-28T04:00:00.000Z,1722,17,REXDALE Boul,QUEENS PLATE Driv, ,Major Arterial,Etobicoke York,43.719145,-79.60349,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Driver,60 to 64,Minimal,0,East,"Automobile, Station Wagon",Going Ahead,Lost control,Medical or Physical Disability, , , , , , ,Yes, ,Yes, , , , , , , , , ,Yes,23,,,1,,18
-79.60349,43.719145,5353058,1035405,2008,2008-04-28T04:00:00.000Z,1722,17,REXDALE Boul,QUEENS PLATE Driv, ,Major Arterial,Etobicoke York,43.719145,-79.60349,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,85 to 89,Fatal,15, ,Other,Other, , ,Pedestrian hit on sidewalk or shoulder,On Sidewalk or Shoulder,Normal, , , ,Yes, ,Yes, , , , , , , , , ,Yes,23,,,1,,19
-79.409595,43.756415,80944317,8001005899,2018,2018-06-03T04:00:00.000Z,1730,17,YONGE ST,FRANKLIN AVE,10 m East of,Expressway,North York,43.756415,-79.409595,Intersection,Intersection Related,No Control,Clear,Daylight,Dry,Non-Fatal Injury,SMV Other,Driver,85 to 89,Major,0,North,"Automobile, Station Wagon",Going Ahead,Other,Medical or Physical Disability, , , , , , , , ,Yes, , , , , , , , , ,Yes,32,,,51,,20
-79.27729,43.693645,5402356,1057170,2008,2008-08-04T04:00:00.000Z,1737,17,DANFORTH Road,DANFORTH Aven, ,Major Arterial,Scarborough,43.693645,-79.27729,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Passenger,35 to 39,Minor,0, ,Other, , , , , , , , , , , ,Yes, , , , ,Yes, ,Yes, , ,Yes,41,,,121,,21
-79.27729,43.693645,5402357,1057170,2008,2008-08-04T04:00:00.000Z,1737,17,DANFORTH Road,DANFORTH Aven, ,Major Arterial,Scarborough,43.693645,-79.27729,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,50 to 54,Minor,0,South,"Automobile, Station Wagon",Stopped,Driving Properly,Normal, , , , , , , , ,Yes, , , , ,Yes, ,Yes, , ,Yes,41,,,121,,22
-79.27729,43.693645,5402358,1057170,2008,2008-08-04T04:00:00.000Z,1737,17,DANFORTH Road,DANFORTH Aven, ,Major Arterial,Scarborough,43.693645,-79.27729,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Passenger,15 to 19,Minor,0, ,Other,Other, , , , , , , , , , ,Yes, , , , ,Yes, ,Yes, , ,Yes,41,,,121,,23
-79.27729,43.693645,5402359,1057170,2008,2008-08-04T04:00:00.000Z,1737,17,DANFORTH Road,DANFORTH Aven, ,Major Arterial,Scarborough,43.693645,-79.27729,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Passenger,10 to 14,Minor,0, ,Other, , , , , , , , , , , ,Yes, , , , ,Yes, ,Yes, , ,Yes,41,,,121,,24
-79.27729,43.693645,5402360,1057170,2008,2008-08-04T04:00:00.000Z,1737,17,DANFORTH Road,DANFORTH Aven, ,Major Arterial,Scarborough,43.693645,-79.27729,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Vehicle Owner,unknown, ,0, ,Other, , , , , , , , , , , ,Yes, , , , ,Yes, ,Yes, , ,Yes,41,,,121,,25
-79.27729,43.693645,5402361,1057170,2008,2008-08-04T04:00:00.000Z,1737,17,DANFORTH Road,DANFORTH Aven, ,Major Arterial,Scarborough,43.693645,-79.27729,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,30 to 34,Major,0,South,"Automobile, Station Wagon",Going Ahead,Following too Close,Medical or Physical Disability, , , , , , , , ,Yes, , , , ,Yes, ,Yes, , ,Yes,41,,,121,,26
-79.40189,43.687545,6280503,1203088,2010,2010-11-01T04:00:00.000Z,1740,17,AVENUE RD,ST CLAIR AVE W, ,Major Arterial,Toronto and East York,43.687545,-79.40189,Mid-Block, ,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,35 to 39,None,0,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal, , , , , , , , ,Yes, , , , ,Yes, , , , ,Yes,53,,,96,,27
-79.40189,43.687545,6280504,1203088,2010,2010-11-01T04:00:00.000Z,1740,17,AVENUE RD,ST CLAIR AVE W, ,Major Arterial,Toronto and East York,43.687545,-79.40189,Mid-Block, ,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,55 to 59,None,0,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal, , , , , , , , ,Yes, , , , ,Yes, , , , ,Yes,53,,,96,,28
-79.40189,43.687545,6280505,1203088,2010,2010-11-01T04:00:00.000Z,1740,17,AVENUE RD,ST CLAIR AVE W, ,Major Arterial,Toronto and East York,43.687545,-79.40189,Mid-Block, ,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,25 to 29,None,0,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal, , , , , , , , ,Yes, , , , ,Yes, , , , ,Yes,53,,,96,,29
-79.40189,43.687545,6280506,1203088,2010,2010-11-01T04:00:00.000Z,1740,17,AVENUE RD,ST CLAIR AVE W, ,Major Arterial,Toronto and East York,43.687545,-79.40189,Mid-Block, ,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,40 to 44,None,0,South,"Automobile, Station Wagon",Stopped,Driving Properly,Normal, , , , , , , , ,Yes, , , , ,Yes, , , , ,Yes,53,,,96,,30
-79.40189,43.687545,6280507,1203088,2010,2010-11-01T04:00:00.000Z,1740,17,AVENUE RD,ST CLAIR AVE W, ,Major Arterial,Toronto and East York,43.687545,-79.40189,Mid-Block, ,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,65 to 69,Major,0,South,"Automobile, Station Wagon",Going Ahead,Lost control,Medical or Physical Disability, , , , , , , , ,Yes, , , , ,Yes, , , , ,Yes,53,,,96,,31
-79.40189,43.687545,6280508,1203088,2010,2010-11-01T04:00:00.000Z,1740,17,AVENUE RD,ST CLAIR AVE W, ,Major Arterial,Toronto and East York,43.687545,-79.40189,Mid-Block, ,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Passenger,20 to 24,Minimal,0, ,Other, , , , , , , , , , , ,Yes, , , , ,Yes, , , , ,Yes,53,,,96,,32
-79.40189,43.687545,6280509,1203088,2010,2010-11-01T04:00:00.000Z,1740,17,AVENUE RD,ST CLAIR AVE W, ,Major Arterial,Toronto and East York,43.687545,-79.40189,Mid-Block, ,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,30 to 34,Minimal,0,South,"Automobile, Station Wagon",Stopped,Driving Properly,Normal, , , , , , , , ,Yes, , , , ,Yes, , , , ,Yes,53,,,96,,33
