X,Y,Index_,ACCNUM,YEAR,DATE,TIME,Hour,STREET1,STREET2,OFFSET,ROAD_CLASS,District,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,Division,Ward_Name,Ward_ID,Hood_ID,Hood_Name,ObjectId
-79.476772,43.703021,80632248,6001758127,2016,2016-10-03T04:00:00.000Z,1426,14,KEELE ST,FLAMBOROUGH DR, ,Major Arterial,Etobicoke York,43.703021,-79.476772,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,85 to 89,None,0,North,"Automobile, Station Wagon",Turning Left,Improper Turn,Normal, , , , , , , ,Yes,Yes, , , , , , , , , , ,12,,,30,,1
-79.476772,43.703021,80632249,6001758127,2016,2016-10-03T04:00:00.000Z,1426,14,KEELE ST,FLAMBOROUGH DR, ,Major Arterial,Etobicoke York,43.703021,-79.476772,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,45 to 49,Major,0,South,Bicycle,Going Ahead, , , , , ,Motorist turned left across cyclists path.,Driving Properly,Normal, ,Yes,Yes, , , , , , , , , , ,12,,,30,,2
-79.36169,43.670245,7440069,1304934,2012,2012-05-24T04:00:00.000Z,1427,14,ROSEDALE VALLEY RD,BAYVIEW S ROSEDALE VL RAMP, ,Major Arterial,Toronto and East York,43.670245,-79.36169,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,30 to 34,None,0,East,"Automobile, Station Wagon",Changing Lanes,Improper Lane Change,Normal, , , , , , , ,Yes,Yes, , , , , , , , , , ,51,,,71,,3
-79.36169,43.670245,7440070,1304934,2012,2012-05-24T04:00:00.000Z,1427,14,ROSEDALE VALLEY RD,BAYVIEW S ROSEDALE VL RAMP, ,Major Arterial,Toronto and East York,43.670245,-79.36169,Intersection,At Intersection,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,60 to 64,Major,0,East,Bicycle,Merging, , , , , ,Cyclist and Driver travelling in same direction. One vehicle sideswipes the other.,Driving Properly,Normal, ,Yes,Yes, , , , , , , , , , ,51,,,71,,4
-79.26779,43.707445,5801019,1146935,2009,2009-11-30T05:00:00.000Z,1430,14,DANFORTH Rd,BIRCHMOUNT Rd, ,Minor Arterial,Scarborough,43.707445,-79.26779,Mid-Block, ,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,55 to 59,Major,0,North,Bicycle,Going Ahead, , , , , ,"Cyclist loses control and strikes object (pole, ttc track)",Lost control,Unknown, ,Yes, , , , , , , , , , , ,41,,,120,,5
-79.39779,43.648445,6726869,1280448,2011,2011-12-20T05:00:00.000Z,1430,14,QUEEN St W,CAMERON St, ,Major Arterial,Toronto and East York,43.648445,-79.39779,Mid-Block, ,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,20 to 24,None,0,East,"Automobile, Station Wagon",Parked,Other,Unknown, , , , , , , ,Yes,Yes, , , , , , , , , , ,14,,,77,,6
-79.39779,43.648445,6726870,1280448,2011,2011-12-20T05:00:00.000Z,1430,14,QUEEN St W,CAMERON St, ,Major Arterial,Toronto and East York,43.648445,-79.39779,Mid-Block, ,No Control,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,35 to 39,Major,0,East,Bicycle,Going Ahead, , , , , ,Cyclist struck opened vehicle door,Driving Properly,Unknown, ,Yes,Yes, , , , , , , , , , ,14,,,77,,7
-79.40529,43.643345,7403743,1289419,2012,2012-02-14T05:00:00.000Z,1430,14,KING St W,TECUMSETH St, ,Major Arterial,Toronto and East York,43.643345,-79.40529,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Wet,Non-Fatal Injury,Cyclist Collisions,Driver,50 to 54,None,0,West,"Automobile, Station Wagon",Turning Left,Failed to Yield Right of Way,Inattentive, , , , , , , ,Yes,Yes, , , , , , ,Yes, , , ,14,,,82,,8
-79.40529,43.643345,7403744,1289419,2012,2012-02-14T05:00:00.000Z,1430,14,KING St W,TECUMSETH St, ,Major Arterial,Toronto and East York,43.643345,-79.40529,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Wet,Non-Fatal Injury,Cyclist Collisions,Cyclist,20 to 24,Major,0,East,Bicycle,Going Ahead, , , , , ,Motorist turned left across cyclists path.,Driving Properly,Normal, ,Yes,Yes, , , , , , ,Yes, , , ,14,,,82,,9
-79.454875,43.688647,80948975,8001484332,2018,2018-08-12T04:00:00.000Z,1430,14,CHUDLEIGH RD,HARVIE AVE, ,Local,Toronto and East York,43.688647,-79.454875,Intersection,At Intersection,Stop Sign,Clear,Daylight,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,30 to 34,Major,0,North,Bicycle,Going Ahead, , , , , ,Motorist turned left across cyclists path.,Disobeyed Traffic Control,Normal, ,Yes,Yes, , , , , , , , , , ,13,,,109,,10
