X,Y,Index_,ACCNUM,YEAR,DATE,TIME,Hour,STREET1,STREET2,OFFSET,ROAD_CLASS,District,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,Division,Ward_Name,Ward_ID,Hood_ID,Hood_Name,ObjectId
-79.38309,43.661345,7477116,1320459,2012,2012-09-09T04:00:00.000Z,2225,22,YONGE ST,COLLEGE ST, ,Major Arterial,Toronto and East York,43.661345,-79.38309,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Vehicle Owner,unknown, ,0, ,Other, , , , , , , , , ,Yes, ,Yes, , , , , , ,Yes, , , ,"51,52",,,75,,6001
-79.38309,43.661345,7477117,1320459,2012,2012-09-09T04:00:00.000Z,2225,22,YONGE ST,COLLEGE ST, ,Major Arterial,Toronto and East York,43.661345,-79.38309,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,45 to 49,None,0,South,"Automobile, Station Wagon",Turning Right,Failed to Yield Right of Way,Inattentive, , , , , , ,Yes, ,Yes, , , , , , ,Yes, , , ,"51,52",,,75,,6002
-79.38309,43.661345,7477118,1320459,2012,2012-09-09T04:00:00.000Z,2225,22,YONGE ST,COLLEGE ST, ,Major Arterial,Toronto and East York,43.661345,-79.38309,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,60 to 64,Major,0,East,Other, , , ,Vehicle turns right while ped crosses with ROW at inter.,Crossing with right of way,Normal, , , ,Yes, ,Yes, , , , , , ,Yes, , , ,"51,52",,,75,,6003
-79.172488,43.782145,7841639,1366152,2013,2013-07-11T04:00:00.000Z,2225,22,WATSON ST,OLD KINGSTON RD, ,Minor Arterial,Scarborough,43.782145,-79.172488,Intersection,At Intersection,No Control,Clear,"Dark, artificial",Dry,Fatal,Pedestrian Collisions,Driver,35 to 39,None,0,East,"Automobile, Station Wagon",Turning Left,Failed to Yield Right of Way,Inattentive, , , , , , ,Yes, ,Yes, , , , , , ,Yes, , , ,43,,,133,,6004
-79.172488,43.782145,7841640,1366152,2013,2013-07-11T04:00:00.000Z,2225,22,WATSON ST,OLD KINGSTON RD, ,Minor Arterial,Scarborough,43.782145,-79.172488,Intersection,At Intersection,No Control,Clear,"Dark, artificial",Dry,Fatal,Pedestrian Collisions,Pedestrian,40 to 44,Minor,0,West, , , , ,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Normal, , , ,Yes, ,Yes, , , , , , ,Yes, , , ,43,,,133,,6005
-79.172488,43.782145,7841641,1366152,2013,2013-07-11T04:00:00.000Z,2225,22,WATSON ST,OLD KINGSTON RD, ,Minor Arterial,Scarborough,43.782145,-79.172488,Intersection,At Intersection,No Control,Clear,"Dark, artificial",Dry,Fatal,Pedestrian Collisions,Pedestrian,45 to 49,Fatal,21,West, , , , ,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Normal, , , ,Yes, ,Yes, , , , , , ,Yes, , , ,43,,,133,,6006
-79.50146,43.741427,80722541,6002020311,2016,2016-11-13T05:00:00.000Z,2225,22,SHEPPARD AVE W,ARLETA AVE, ,Major Arterial,North York,43.741427,-79.50146,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Turning Movement,Driver,25 to 29,None,0,North,"Automobile, Station Wagon",Turning Left,Failed to Yield Right of Way,Inattentive, , , , , , , , ,Yes,Yes, , , , ,Yes,Yes, , , ,31,,,25,,6007
-79.50146,43.741427,80722594,6002020311,2016,2016-11-13T05:00:00.000Z,2225,22,SHEPPARD AVE W,ARLETA AVE, ,Major Arterial,North York,43.741427,-79.50146,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Turning Movement,Motorcycle Driver,45 to 49,Major,0,West,Motorcycle,Going Ahead,Speed too Fast For Condition,Normal, , , , , , , , ,Yes,Yes, , , , ,Yes,Yes, , , ,31,,,25,,6008
-79.50146,43.741427,80722595,6002020311,2016,2016-11-13T05:00:00.000Z,2225,22,SHEPPARD AVE W,ARLETA AVE, ,Major Arterial,North York,43.741427,-79.50146,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Turning Movement,Driver,50 to 54,None,0,West,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal, , , , , , , , ,Yes,Yes, , , , ,Yes,Yes, , , ,31,,,25,,6009
-79.51839,43.718745,5374244,1044815,2008,2008-06-24T04:00:00.000Z,2226,22,WILSON AVE,JETHRO RD, ,Major Arterial,Etobicoke York,43.718745,-79.51839,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Vehicle Owner,unknown, ,0, ,Other, , , , , , , , , ,Yes, ,Yes, , , , , ,Yes,Yes, , , ,31,,,26,,6010
-79.51839,43.718745,5374245,1044815,2008,2008-06-24T04:00:00.000Z,2226,22,WILSON AVE,JETHRO RD, ,Major Arterial,Etobicoke York,43.718745,-79.51839,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Driver,25 to 29,None,0,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal, , , , , , ,Yes, ,Yes, , , , , ,Yes,Yes, , , ,31,,,26,,6011
-79.51839,43.718745,5374246,1044815,2008,2008-06-24T04:00:00.000Z,2226,22,WILSON AVE,JETHRO RD, ,Major Arterial,Etobicoke York,43.718745,-79.51839,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,75 to 79,Fatal,27,North,Other, , , ,Vehicle is going straight thru inter.while ped cross without ROW,Crossing without right of way,Unknown, , , ,Yes, ,Yes, , , , , ,Yes,Yes, , , ,31,,,26,,6012
-79.347003,43.775035,80908719,8000569238,2018,2018-03-29T04:00:00.000Z,2226,22,DON MILLS  RD,SHEPPARD AVE E, ,Major Arterial,North York,43.775035,-79.347003,Intersection,At Intersection,Traffic Controller,Rain,"Daylight, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,35 to 39,Major,0,East, , , , ,Vehicle turns right while ped crosses with ROW at inter.,Crossing with right of way,Normal, , , ,Yes, ,Yes, , , , , , ,Yes, , , ,33,,,53,,6013
-79.347003,43.775035,80908720,8000569238,2018,2018-03-29T04:00:00.000Z,2226,22,DON MILLS  RD,SHEPPARD AVE E, ,Major Arterial,North York,43.775035,-79.347003,Intersection,At Intersection,Traffic Controller,Rain,"Daylight, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,45 to 49,None,0,West,"Automobile, Station Wagon",Turning Right,Failed to Yield Right of Way,Normal, , , , , , ,Yes, ,Yes, , , , , , ,Yes, , , ,33,,,53,,6014
-79.43188,43.699633,80252558,5001740132,2015,2015-10-08T04:00:00.000Z,2227,22,EGLINTON AVE W,MENIN RD,16 m West of,Major Arterial,Toronto and East York,43.699633,-79.43188,Intersection,Intersection Related,No Control,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,35 to 39,None,0,West,Municipal Transit Bus (TTC),Going Ahead,Speed too Fast For Condition,Normal, , , , , , ,Yes, , , , ,Yes, , ,Yes,Yes, , , ,13,,,106,,6015
-79.43188,43.699633,80252559,5001740132,2015,2015-10-08T04:00:00.000Z,2227,22,EGLINTON AVE W,MENIN RD,16 m West of,Major Arterial,Toronto and East York,43.699633,-79.43188,Intersection,Intersection Related,No Control,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,85 to 89,Major,0,Unknown, , , , ,Pedestrian involved in a collision with transit vehicle anywhere along roadway,"Crossing, no Traffic Control",Normal, , , ,Yes, , , , ,Yes, , ,Yes,Yes, , , ,13,,,106,,6016
-79.274051,43.775538,80972184,8001753831,2018,2018-09-21T04:00:00.000Z,2227,22,2265 MIDLAND  AVE, ,3 m West of,Major Arterial,Scarborough,43.775538,-79.274051,Mid-Block,Non Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,unknown,None,0,South,"Automobile, Station Wagon",Going Ahead,Failed to Yield Right of Way,Unknown, , , , , , ,Yes, ,Yes, , , , , , ,Yes, , , ,41,,,127,,6017
-79.274051,43.775538,80972185,8001753831,2018,2018-09-21T04:00:00.000Z,2227,22,2265 MIDLAND  AVE, ,3 m West of,Major Arterial,Scarborough,43.775538,-79.274051,Mid-Block,Non Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,20 to 24,Major,0,West, , , , ,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Normal, , , ,Yes, ,Yes, , , , , , ,Yes, , , ,41,,,127,,6018
-79.598361,43.65576,80972403,8001765943,2018,2018-09-23T04:00:00.000Z,2228,22,CENTENNIAL PARK BLVD,EGLINTON  AVE W, ,Major Arterial,Etobicoke York,43.65576,-79.598361,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Driver,55 to 59,None,0,North,"Automobile, Station Wagon",Turning Right,Failed to Yield Right of Way,Normal, , , , , , , ,Yes,Yes, , , , , , ,Yes, , , ,22,,,11,,6019
-79.598361,43.65576,80972404,8001765943,2018,2018-09-23T04:00:00.000Z,2228,22,CENTENNIAL PARK BLVD,EGLINTON  AVE W, ,Major Arterial,Etobicoke York,43.65576,-79.598361,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,35 to 39,Major,0,East,Bicycle,Going Ahead, , , , , ,Motorist turning right on red at signalized intersection strikes cyclist.,Driving Properly,Normal, ,Yes,Yes, , , , , , ,Yes, , , ,22,,,11,,6020
-79.384639,43.650431,80220994,4003143526,2014,2014-10-20T04:00:00.000Z,2229,22,YORK ST,RICHMOND ST W, ,Major Arterial,Toronto and East York,43.650431,-79.384639,Intersection,At Intersection,Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Angle,Driver,25 to 29,None,0,North,"Automobile, Station Wagon",Going Ahead,Disobeyed Traffic Control,Inattentive, , , , , , , , ,Yes,Yes, , , , , ,Yes,Yes, , ,52,,,76,,6021
-79.384639,43.650431,80220995,4003143526,2014,2014-10-20T04:00:00.000Z,2229,22,YORK ST,RICHMOND ST W, ,Major Arterial,Toronto and East York,43.650431,-79.384639,Intersection,At Intersection,Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Angle,Motorcycle Driver,35 to 39,Major,0,West,Motorcycle,Going Ahead,Driving Properly,Normal, , , , , , , , ,Yes,Yes, , , , , ,Yes,Yes, , ,52,,,76,,6022
-79.472408,43.671408,80774351,7000635280,2017,2017-04-10T04:00:00.000Z,2229,22,ST CLAIR AVE W,GUNNS RD,90 m West of,Major Arterial,Etobicoke York,43.671408,-79.472408,Mid-Block,Non Intersection,No Control,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,Driver,35 to 39,None,0,West,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal, , , , , , ,Yes, ,Yes, , , , , , ,Yes, , , ,"12,11",,,90,,6023
-79.472408,43.671408,80774352,7000635280,2017,2017-04-10T04:00:00.000Z,2229,22,ST CLAIR AVE W,GUNNS RD,90 m West of,Major Arterial,Etobicoke York,43.671408,-79.472408,Mid-Block,Non Intersection,No Control,Rain,Dark,Wet,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,50 to 54,Major,0,West, , , , ,Pedestrian hit at mid-block,Running onto Roadway,Inattentive, , , ,Yes, ,Yes, , , , , , ,Yes, , , ,"12,11",,,90,,6024
-79.43179,43.674645,5342803,1030716,2008,2008-03-17T04:00:00.000Z,2230,22,DAVENPORT RD,SOMERSET AVE, ,Minor Arterial,Toronto and East York,43.674645,-79.43179,Mid-Block, ,No Control,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,unknown,None,0,East,"Automobile, Station Wagon",Going Ahead,Exceeding Speed Limit,Unknown, , , , , , ,Yes, ,Yes, , , , , ,Yes,Yes, , , ,13,,,94,,6025
