X,Y,Index_,ACCNUM,YEAR,DATE,TIME,Hour,STREET1,STREET2,OFFSET,ROAD_CLASS,District,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,Division,Ward_Name,Ward_ID,Hood_ID,Hood_Name,ObjectId
-79.428859,43.681033,80496487,5000471839,2015,2015-03-20T04:00:00.000Z,2010,20,ST CLAIR AVE W,ARLINGTON AVE, ,Major Arterial,Toronto and East York,43.681033,-79.428859,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Fatal,Pedestrian Collisions,Pedestrian,80 to 84,Fatal,14,South, , , , ,Pedestrian involved in a collision with transit vehicle anywhere along roadway,Crossing with right of way,Medical or Physical Disability, , , ,Yes, , , , ,, , , ,Yes, , , ,13,,,94,,1
-79.352763,43.66582,80496557,5000560313,2015,2015-04-04T04:00:00.000Z,2010,20,BROADVIEW AVE,GERRARD ST E,31 m North of,Minor Arterial,Toronto and East York,43.66582,-79.352763,Mid-Block,Non Intersection,No Control,Rain,"Dark, artificial",Wet,Fatal,Pedestrian Collisions,Pedestrian,60 to 64,Fatal,17,Unknown, , , , ,Pedestrian involved in a collision with transit vehicle anywhere along roadway,"Crossing, no Traffic Control",Had Been Drinking, , , ,Yes, , , , ,, , , , , , , ,55,,,68,,2
-79.373676,43.657778,80566636,6002089290,2016,2016-11-24T05:00:00.000Z,2010,20,300 GEORGE ST, , ,Local,Toronto and East York,43.657778,-79.373676,Mid-Block,At/Near Private Drive,No Control,Clear,Dark,Wet,Fatal,Pedestrian Collisions,Pedestrian,70 to 74,Fatal,73,Unknown, , , , ,Pedestrian hit at private driveway,Other,Unknown, , , ,Yes, ,Yes, , ,, , , , , , , ,51,,,73,,3
-79.26859,43.733845,7504890,1332261,2012,2012-12-20T05:00:00.000Z,2015,20,KENNEDY Rd,TREVERTON Dr, ,Major Arterial,Scarborough,43.733845,-79.26859,Intersection, ,No Control,Rain,"Dark, artificial",Wet,Fatal,Pedestrian Collisions,Pedestrian,15 to 19,Fatal,44,Unknown,Other,Unknown, , ,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Unknown, , , ,Yes, ,Yes, , ,, ,Yes, , , , , ,41,,,125,,4
-79.367008,43.651473,80502826,6000500403,2016,2016-03-23T04:00:00.000Z,2015,20,KING ST E,PRINCESS ST,10 m East of,Major Arterial,Toronto and East York,43.651473,-79.367008,Mid-Block,Intersection Related,No Control,Freezing Rain,"Dark, artificial",Wet,Fatal,Pedestrian Collisions,Pedestrian,75 to 79,Fatal,18,North, , , , ,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Inattentive, , , ,Yes, ,Yes, , ,, , , , , , , ,51,,,73,,5
-79.35094,43.658515,80972619,8001860748,2018,2018-10-08T04:00:00.000Z,2015,20,685 QUEEN ST E, ,Near #685,Major Arterial,Toronto and East York,43.658515,-79.35094,Intersection,At Intersection,No Control,Clear,"Dusk, artificial",Dry,Fatal,Cyclist Collisions,Cyclist,60 to 64,Fatal,54,East,Bicycle,Going Ahead, , , , , ,Cyclist strikes a parked vehicle.,Lost control,Unknown, ,Yes,Yes, , ,, , , , , , , ,55,,,70,,6
-79.285129,43.711142,80000023,141518658,2014,2014-02-12T05:00:00.000Z,2017,20,ST CLAIR AVE E,HERRON AVE, ,Major Arterial,Scarborough,43.711142,-79.285129,Mid-Block, ,No Control,Clear,"Dark, artificial",Ice,Fatal,Pedestrian Collisions,Pedestrian,15 to 19,Fatal,4,South, , , , ,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Unknown, , , ,Yes, ,Yes, , ,, , ,Yes,Yes, , , ,41,,,120,,7
-79.41219,43.677645,5380768,1047683,2008,2008-07-13T04:00:00.000Z,2018,20,19 LYNDHURST CRT, , ,Local,Toronto and East York,43.677645,-79.41219,Mid-Block, ,No Control,Clear,Dusk,Dry,Fatal,Pedestrian Collisions,Pedestrian,85 to 89,Fatal,32,Unknown,Other, , , ,Vehicle is reversing and hits pedestrian,Other,Unknown, , , ,Yes, ,Yes, , ,, , , , , , , ,13,,,96,,8
-79.41469,43.673945,6281390,1209207,2010,2010-12-23T05:00:00.000Z,2027,20,BATHURST ST,BRIDGMAN AVE, ,Major Arterial,Toronto and East York,43.673945,-79.41469,Mid-Block, ,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,40 to 44,Fatal,42,Unknown,Other, , , ,Pedestrian involved in a collision with transit vehicle anywhere along roadway,Playing or Working on Highway,Normal, , , ,Yes, , , , ,, ,Yes, ,Yes, , , ,"13,14",,,96,,9
-79.32799,43.718745,5257705,1112683,2009,2009-07-06T04:00:00.000Z,2030,20,DON VALLEY PARKWAY  N,ST DENNIS DR, ,Expressway,North York,43.718745,-79.32799,Mid-Block, ,No Control,Clear,Daylight,Dry,Fatal,SMV Other,Passenger,20 to 24,Fatal,18, ,Other, , , , , , , , , , , ,Yes, , ,, ,Yes,Yes,Yes, , , ,54,,,44,,10
-79.32799,43.718745,5257707,1112683,2009,2009-07-06T04:00:00.000Z,2030,20,DON VALLEY PARKWAY  N,ST DENNIS DR, ,Expressway,North York,43.718745,-79.32799,Mid-Block, ,No Control,Clear,Daylight,Dry,Fatal,SMV Other,Driver,20 to 24,Fatal,19,North,"Automobile, Station Wagon",Changing Lanes,Exceeding Speed Limit,Unknown, , , , , , , , ,Yes, , ,, ,Yes,Yes,Yes, , , ,54,,,44,,11
-79.31939,43.725945,5359689,1038340,2008,2008-05-13T04:00:00.000Z,2030,20,EGLINTON AVE E,CREDIT UNION DR, ,Major Arterial,North York,43.725945,-79.31939,Mid-Block, ,No Control,Clear,Dark,Dry,Fatal,Approaching,Passenger,20 to 24,Fatal,18, ,Other, , , , , , , , , , , ,Yes, , ,, ,Yes,Yes,Yes, , , ,"33,54",,,43,,12
-79.31939,43.725945,5359690,1038340,2008,2008-05-13T04:00:00.000Z,2030,20,EGLINTON AVE E,CREDIT UNION DR, ,Major Arterial,North York,43.725945,-79.31939,Mid-Block, ,No Control,Clear,Dark,Dry,Fatal,Approaching,Passenger,15 to 19,Fatal,19, ,Other, , , , , , , , , , , ,Yes, , ,, ,Yes,Yes,Yes, , , ,"33,54",,,43,,13
-79.419765,43.734461,80503954,6000746605,2016,2016-05-01T04:00:00.000Z,2033,20,AVENUE RD,FELBRIGGE AVE, ,Major Arterial,North York,43.734461,-79.419765,Mid-Block,Non Intersection,No Control,Rain,"Dark, artificial",Wet,Fatal,Pedestrian Collisions,Pedestrian,90 to 94,Fatal,29,West, , , , ,Vehicle is going straight thru inter.while ped cross without ROW,"Crossing, no Traffic Control",Inattentive, , , ,Yes, ,Yes, , ,, , , , , , , ,32,,,39,,14
