X,Y,Index_,ACCNUM,YEAR,DATE,TIME,Hour,STREET1,STREET2,OFFSET,ROAD_CLASS,District,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,Division,Ward_Name,Ward_ID,Hood_ID,Hood_Name,ObjectId
-79.369815,43.645556,80221347,4003176267,2014,2014-10-26T04:00:00.000Z,2335,23,LAKE SHORE BLVD E,LOWER JARVIS ST,27 m East of,Expressway,Toronto and East York,43.645556,-79.369815,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Rear End,Driver,30 to 34,Major,0,West,"Automobile, Station Wagon",Stopped,Driving Properly,Normal, , , , , , , , ,Yes, , , , , ,Yes,Yes, , , ,51,,,77,,2001
-79.369815,43.645556,80221348,4003176267,2014,2014-10-26T04:00:00.000Z,2335,23,LAKE SHORE BLVD E,LOWER JARVIS ST,27 m East of,Expressway,Toronto and East York,43.645556,-79.369815,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Rear End,Driver,25 to 29,None,0,West,"Automobile, Station Wagon",Stopped,Driving Properly,Normal, , , , , , , , ,Yes, , , , , ,Yes,Yes, , , ,51,,,77,,2002
-79.369815,43.645556,80221349,4003176267,2014,2014-10-26T04:00:00.000Z,2335,23,LAKE SHORE BLVD E,LOWER JARVIS ST,27 m East of,Expressway,Toronto and East York,43.645556,-79.369815,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Rear End,Driver,25 to 29,None,0,West,"Automobile, Station Wagon",Stopped,Driving Properly,Normal, , , , , , , , ,Yes, , , , , ,Yes,Yes, , , ,51,,,77,,2003
-79.313144,43.686515,80491737,5001874738,2015,2015-10-31T04:00:00.000Z,2335,23,WOODBINE AVE,STRATHMORE BLVD, ,Major Arterial,Toronto and East York,43.686515,-79.313144,Intersection,Intersection Related,No Control,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Turning Movement,Driver,65 to 69,Minimal,0,North,"Automobile, Station Wagon",Making U Turn,Improper Turn,Normal, , , , , , , , ,Yes,Yes, , , , ,Yes,Yes, , , ,54,,,60,,2004
-79.313144,43.686515,80491738,5001874738,2015,2015-10-31T04:00:00.000Z,2335,23,WOODBINE AVE,STRATHMORE BLVD, ,Major Arterial,Toronto and East York,43.686515,-79.313144,Intersection,Intersection Related,No Control,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Turning Movement,Motorcycle Driver,30 to 34,Major,0,North,Motorcycle,Going Ahead,Speed too Fast For Condition,Unknown, , , , , , , , ,Yes,Yes, , , , ,Yes,Yes, , , ,54,,,60,,2005
-79.190738,43.752776,80564144,6001198953,2016,2016-07-08T04:00:00.000Z,2339,23,GALLOWAY RD,DEARHAM WOOD,31 m North of,Collector,Scarborough,43.752776,-79.190738,Intersection,Intersection Related,Stop Sign,Clear,"Dark, artificial",Dry,Non-Fatal Injury,SMV Other,Driver,15 to 19,Major,0,West,"Automobile, Station Wagon",Turning Right,Lost control,Normal, , , , , , , , ,Yes, , , , ,Yes,Yes,Yes, , , ,43,,,140,,2006
-79.190738,43.752776,80564145,6001198953,2016,2016-07-08T04:00:00.000Z,2339,23,GALLOWAY RD,DEARHAM WOOD,31 m North of,Collector,Scarborough,43.752776,-79.190738,Intersection,Intersection Related,Stop Sign,Clear,"Dark, artificial",Dry,Non-Fatal Injury,SMV Other,Passenger,15 to 19,Minor,0, , , , , , , , , , , , , ,Yes, , , , ,Yes,Yes,Yes, , , ,43,,,140,,2007
-79.213535,43.814105,80877056,8000716427,2018,2018-04-21T04:00:00.000Z,2341,23,SEWELLS RD,HUPFIELD TRL, ,Minor Arterial,Scarborough,43.814105,-79.213535,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Fatal,SMV Other,Driver,25 to 29,Fatal,20,East,"Automobile, Station Wagon",Going Ahead,Lost control,Unknown, , , , , , , , ,Yes, , , , , ,Yes,Yes, , , ,42,,,132,,2008
-79.221034,43.819625,80896024,7000840338,2017,2017-05-13T04:00:00.000Z,2343,23,MORNINGSIDE AVE,STAINES RD,15 m East of,Minor Arterial,Scarborough,43.819625,-79.221034,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,SMV Other,Driver,25 to 29,Major,0,West,"Automobile, Station Wagon",Going Ahead,Lost control,Unknown, , , , , , , , ,Yes, , , , , ,Yes,Yes, , , ,42,,,132,,2009
-79.352077,43.656363,7644722,1241593,2011,2011-07-01T04:00:00.000Z,2345,23,DON VALLEY PARKWAY  N,EASTERN AVE DIVERSION, ,Expressway,Toronto and East York,43.656363,-79.352077,Mid-Block,Non Intersection,No Control,Clear,Dark,Dry,Non-Fatal Injury,Rear End,Motorcycle Passenger,25 to 29,Major,0, , , , , , , , , , , , , ,Yes,Yes, , , ,Yes,Yes,Yes, , , ,55,,,70,,2010
